Nombre: 843;Num;Nom;NumType;COMMUNE;Population_totale;EMPLOIS_TOTAUX;ENF;EPCI;IRIS
570;741;SAINT-SYMPHORIEN;3;SAINT-SYMPHORIEN;2913,00;756;117,00;;
571;742;NOAILLAN PRECHAC;3;NOAILLAN PRECHAC;5012,00;828;174,00;;
572;743;CAPTIEUX;3;CAPTIEUX;2642,00;872;74,00;;
573;744;CABANAC-ET-VILLAGRAINS;3;CABANAC-ET-VILLAGRAINS;2367,00;353;108,00;;
574;745;Saint-Magne;3;Saint-Magne;1122,00;189;59,00;;
575;746;HOSTENS;3;HOSTENS;2479,00;336;114,00;;
576;747;LE BARP;3;LE BARP;5827,00;2812;296,00;;
577;748;BELIN-BELIET;3;BELIN-BELIET;5808,00;1199;255,00;;
578;749;SALLES;3;SALLES;8586,00;1781;343,00;;
579;750;MARCHEPRIME;3;MARCHEPRIME;5218,00;881;230,00;;
580;751;MIOS;3;MIOS;11262,00;2470;653,00;;
581;752;BIGANOS;3;BIGANOS;4022,00;670;163,00;;
582;753;LE TEICH;3;LE TEICH;8849,00;1438;342,00;;
583;754;GUJAN-MESTRAS;3;GUJAN-MESTRAS;4419,00;2220;149,00;;104
584;755;GUJAN-MESTRAS;3;GUJAN-MESTRAS;3170,00;393;67,00;;102
585;756;GUJAN-MESTRAS;3;GUJAN-MESTRAS;2392,00;1679;43,00;;105
586;757;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );2644,00;3520;67,00;;102
587;758;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );2633,00;215;81,00;;0104_0103
588;759;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );3156,00;1557;75,00;;101
589;760;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );5165,00;537;110,00;;0105_0106
590;761;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );2637,00;4068;70,00;;107
591;762;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );3752,00;182;146,00;;301
592;763;TESTE-DE-BUCH (LA );3;TESTE-DE-BUCH (LA );2212,00;884;44,00;;201
593;764;ARCACHON;3;ARCACHON;2453,00;1272;61,00;;
594;765;AUDENGE;3;AUDENGE;9124,00;1564;332,00;;
595;766;LANTON;3;LANTON;7248,00;1215;159,00;;
596;767;ANDERNOS-LES-BAINS;3;ANDERNOS-LES-BAINS;6691,00;1571;135,00;;
597;768;ARES;3;ARES;6371,00;1998;155,00;;
598;769;LEGE-CAP-FERRET;3;LEGE-CAP-FERRET;3705,00;1452;58,00;;
599;770;LE TEMPLE-SAUMOS;3;LE TEMPLE;1159,00;100;50,00;;
600;771;LE PORGE;3;LE PORGE;3323,00;491;160,00;;
601;772;LACANAU;3;LACANAU;5210,00;1827;155,00;;
602;773;SAINTE-HELENE;3;SAINTE-HELENE;3709,00;615;154,00;;
603;774;LAMARQUE-ARCINS;3;Cussac-Fort-Medoc;1868,00;427;83,00;;
604;775;MOULIS-EN-MEDOC;3;MOULIS-EN-MEDOC;1978,00;447;87,00;;
605;776;LISTRAC-MEDOC;3;LISTRAC-MEDOC;2864,00;453;118,00;;
606;777;SAINT-LAURENT-MEDOC;3;SAINT-LAURENT-MEDOC;5451,00;2159;244,00;;
607;778;CARCANS;3;CARCANS;2417,00;456;84,00;;
608;779;HOURTIN;3;HOURTIN;3980,00;968;132,00;;
609;780;PAUILLAC;3;PAUILLAC;5070,00;3284;220,00;;
610;781;SAINT SAUVEUR;3;CISSAC-MEDOC;1294,00;229;42,00;;
611;782;SAINT-GERMAIN-D'ESTEUIL;3;SAINT-GERMAIN-D'ESTEUIL;2572,00;492;92,00;;
612;783;LESPARRE-MEDOC;3;LESPARRE-MEDOC;5846,00;3267;206,00;;
613;784;GAILLAN-EN-MEDOC;3;GAILLAN-EN-MEDOC;2376,00;703;74,00;;
614;785;Vendays-Montalivet;3;Vendays-Montalivet;3693,00;887;103,00;;
615;786;Saint-Est?he;3;SAINT-ESTEPHE;3143,00;1255;122,00;;
616;787;BEGADAN;3;BEGADAN;2525,00;1026;83,00;;
617;788;Queyrac;3;Queyrac;2817,00;572;85,00;;
618;789;Saint-Vivien-de-M?oc;3;Saint-Vivien-de-Medoc;5188,00;744;174,00;;
619;790;SOULAC-SUR-MER;3;SOULAC-SUR-MER;3319,00;1177;68,00;;
620;791;LE VERDON-SUR-MER;3;LE VERDON-SUR-MER;1545,00;356;35,00;;
621;800;RD137;6;RD137;0,00;0;0,00;;
622;801;A10;6;A10;0,00;0;0,00;;
623;802;RD19;6;RD19;0,00;0;0,00;;
624;803;RD256;6;RD256;0,00;0;0,00;;
625;804;N10;6;N10;0,00;0;0,00;;
626;805;RD910bis;6;RD910bis;0,00;0;0,00;;
627;806;RD674;6;RD674;0,00;0;0,00;;
628;807;RD1089;6;RD1089;0,00;0;0,00;;
629;808;A89;6;A89;0,00;0;0,00;;
630;809;RD708;6;RD708;0,00;0;0,00;;
631;810;RD936;6;RD936;0,00;0;0,00;;
632;811;RD708;6;RD708;0,00;0;0,00;;
633;812;RD1113;6;RD1113;0,00;0;0,00;;
634;813;A62;6;A62;0,00;0;0,00;;
635;814;RD655;6;RD655;0,00;0;0,00;;
636;815;A65;6;A65;0,00;0;0,00;;
637;816;D932;6;D932;0,00;0;0,00;;
638;817;RD220;6;RD220;0,00;0;0,00;;
639;818;RD651;6;RD651;0,00;0;0,00;;
640;819;A63;6;A63;0,00;0;0,00;;
641;820;RD46;6;RD46;0,00;0;0,00;;
642;821;RD652;6;RD652;0,00;0;0,00;;
643;822;RD218;6;RD218;0,00;0;0,00;;
644;823;Bac Le Verdon Royan;6;Bac Le Verdon Royan;0,00;0;0,00;;
645;824;Voie ferrée direction La Rochelle;6;Voie ferré;0,00;0;0,00;;
646;825;Voie ferrée direction Angoulême;6;Voie ferré;0,00;0;0,00;;
647;826;Voie ferrée direction Brive / Limoges / Perrigueux;6;Voie ferré;0,00;0;0,00;;
648;827;Voie ferrée direction Bergerac;6;Voie ferré;0,00;0;0,00;;
649;828;Voie ferrée direction Agen;6;Voie ferré;0,00;0;0,00;;
650;829;Voie ferrée direction Hendaye;6;Voie ferré;0,00;0;0,00;;
651;900;P+R La Gardette Nord & Sud;4;;0,00;0;0,00;;
652;901;P+R Lauriers;4;;0,00;0;0,00;;
653;902;P+R Buttinière;4;;0,00;0;0,00;;
654;903;P+R Floirac Dravemont;4;;0,00;0;0,00;;
655;904;P+R Galin;4;;0,00;0;0,00;;
656;905;P+R Stalingrad;4;;0,00;0;0,00;;
657;907;P+R Arts et Métiers;4;;0,00;0;0,00;;
658;908;P+R Unitec;4;;0,00;0;0,00;;
659;909;P+R Bougnard;4;;0,00;0;0,00;;
660;910;Pessac Centre;4;;0,00;0;0,00;;
661;911;P+R Porte de Bordeaux;4;;0,00;0;0,00;;
662;912;P+R Arlac;4;;0,00;0;0,00;;
663;913;P+R Quatre Chemins;4;;0,00;0;0,00;;
664;914;Mérignac Centre;4;;0,00;0;0,00;;
665;915;P+R Ravezies Le Bouscat;4;;0,00;0;0,00;;
666;916;P+R Les Aubiers;4;;0,00;0;0,00;;
667;917;P+R Brandenburg;4;;0,00;0;0,00;;
668;918;P+R Gare de Blanquefort;4;;0,00;0;0,00;;
669;919;P+R Gare de Bruges;4;;0,00;0;0,00;;
670;920;P+R De L'Hippodrome;4;;0,00;0;0,00;;
671;921;P+R Cantinolle;4;;0,00;0;0,00;;
672;922;P+R Le Haillan Rostand;4;;0,00;0;0,00;;
673;923;P+R Les Pins;4;;0,00;0;0,00;;
674;924;P+R Gare De Pessac Alouette;4;;0,00;0;0,00;;
675;925;P+R Cap Métiers;4;;0,00;0;0,00;;
676;926;P+R Gare De Begles;4;;0,00;0;0,00;;
677;927;P+R Villenave Pyrenees;4;;0,00;0;0,00;;
678;928;Floirac Arena;4;;0,00;0;0,00;;
679;929;P+R Aeroparc;4;;0,00;0;0,00;;
680;930;P+R Puypelat;4;;0,00;0;0,00;;
681;931;P+R Quarante Journaux;4;;0,00;0;0,00;;
682;932;P+R Lycée Sud Médoc;4;;0,00;0;0,00;;
683;933;P+R Parempuyre;4;;0,00;0;0,00;;
684;934;P+R Mermoz;4;;0,00;0;0,00;;
685;935;P+R Germignan;4;;0,00;0;0,00;;
686;936;P+R Duperier;4;;0,00;0;0,00;;
687;937;P+R de la Plaine des Sports;4;;0,00;0;0,00;;
688;938;Parking gratuit Achard;4;;0,00;0;0,00;;
